,reference_date,table,total_size
283643,2020-01-01,TAB000000,707580
283654,2020-01-02,TAB000000,706300
283665,2020-01-03,TAB000000,712061
283668,2020-01-04,TAB000000,706950
283669,2020-01-05,TAB000000,708852
283670,2020-01-06,TAB000000,702719
283671,2020-01-07,TAB000000,697786
283672,2020-01-08,TAB000000,698219
283673,2020-01-09,TAB000000,693483
283644,2020-01-10,TAB000000,691177
283645,2020-01-11,TAB000000,688512
283646,2020-01-12,TAB000000,677945
283647,2020-01-13,TAB000000,667321
283648,2020-01-14,TAB000000,659342
283649,2020-01-15,TAB000000,650181
283650,2020-01-16,TAB000000,638058
283651,2020-01-17,TAB000000,625885
283652,2020-01-18,TAB000000,607397
283653,2020-01-19,TAB000000,591663
283655,2020-01-20,TAB000000,571846
283656,2020-01-21,TAB000000,555676
283657,2020-01-22,TAB000000,543987
283658,2020-01-23,TAB000000,527592
283659,2020-01-24,TAB000000,515220
283660,2020-01-25,TAB000000,498912
283661,2020-01-26,TAB000000,488969
283662,2020-01-27,TAB000000,476338
283663,2020-01-28,TAB000000,455457
283664,2020-01-29,TAB000000,439464
283666,2020-01-30,TAB000000,422431
283667,2020-01-31,TAB000000,434594
283767,2020-02-01,TAB000000,423964
283778,2020-02-02,TAB000000,416220
283789,2020-02-03,TAB000000,408670
283790,2020-02-04,TAB000000,403104
283791,2020-02-05,TAB000000,397890
283792,2020-02-06,TAB000000,390274
283793,2020-02-07,TAB000000,381971
283794,2020-02-08,TAB000000,376840
283795,2020-02-09,TAB000000,369511
283768,2020-02-10,TAB000000,362283
283769,2020-02-11,TAB000000,356181
283770,2020-02-12,TAB000000,347349
283771,2020-02-13,TAB000000,339811
283772,2020-02-14,TAB000000,335747
283773,2020-02-15,TAB000000,333770
283774,2020-02-16,TAB000000,326806
283775,2020-02-17,TAB000000,321657
283776,2020-02-18,TAB000000,313745
283777,2020-02-19,TAB000000,307694
283779,2020-02-20,TAB000000,302253
283780,2020-02-21,TAB000000,296947
283781,2020-02-22,TAB000000,294457
283782,2020-02-23,TAB000000,292334
283783,2020-02-24,TAB000000,287431
283784,2020-02-25,TAB000000,282451
283785,2020-02-26,TAB000000,278394
283786,2020-02-27,TAB000000,274249
